year,jurisdiction,race_ethnicity_used_to_report_trends_school_reported,average_scale_score
2022,Philadelphia,Two or more races,‡
2022,San Diego,White,278
2022,San Diego,Black,‡
2022,San Diego,Hispanic,249
2022,San Diego,Asian/Pacific Islander,279
2022,San Diego,American Indian/Alaska Native,‡
2022,San Diego,Two or more races,‡
2022,Shelby County (TN),White,‡
2022,Shelby County (TN),Black,240
2022,Shelby County (TN),Hispanic,244
2022,Shelby County (TN),Asian/Pacific Islander,‡
2022,Shelby County (TN),American Indian/Alaska Native,‡
2022,Shelby County (TN),Two or more races,‡
2019,National,White,272
2019,National,Black,244
2019,National,Hispanic,252
2019,National,Asian/Pacific Islander,281
2019,National,American Indian/Alaska Native,248
2019,National,Two or more races,267
2019,Albuquerque,White,267
2019,Albuquerque,Black,‡
2019,Albuquerque,Hispanic,243
2019,Albuquerque,Asian/Pacific Islander,‡
2019,Albuquerque,American Indian/Alaska Native,232
2019,Albuquerque,Two or more races,‡
2019,Atlanta,White,291
2019,Atlanta,Black,247
2019,Atlanta,Hispanic,252
2019,Atlanta,Asian/Pacific Islander,‡
2019,Atlanta,American Indian/Alaska Native,‡
2019,Atlanta,Two or more races,‡
2019,Austin,White,280
2019,Austin,Black,237
2019,Austin,Hispanic,244
2019,Austin,Asian/Pacific Islander,‡
2019,Austin,American Indian/Alaska Native,‡
2019,Austin,Two or more races,‡
2019,Baltimore City,White,274
2019,Baltimore City,Black,237
2019,Baltimore City,Hispanic,233
2019,Baltimore City,Asian/Pacific Islander,‡
2019,Baltimore City,American Indian/Alaska Native,‡
2019,Baltimore City,Two or more races,‡
2019,Boston,White,282
2019,Boston,Black,250
2019,Boston,Hispanic,246
2019,Boston,Asian/Pacific Islander,282
2019,Boston,American Indian/Alaska Native,‡
2019,Boston,Two or more races,‡
2019,Charlotte,White,282
2019,Charlotte,Black,249
2019,Charlotte,Hispanic,254
2019,Charlotte,Asian/Pacific Islander,279
2019,Charlotte,American Indian/Alaska Native,‡
2019,Charlotte,Two or more races,‡
2019,Chicago,White,282
2019,Chicago,Black,246
2019,Chicago,Hispanic,252
2019,Chicago,Asian/Pacific Islander,271
2019,Chicago,American Indian/Alaska Native,‡
2019,Chicago,Two or more races,‡
2019,Clark County (NV),White,270
2019,Clark County (NV),Black,241
2019,Clark County (NV),Hispanic,250
2019,Clark County (NV),Asian/Pacific Islander,272
2019,Clark County (NV),American Indian/Alaska Native,‡
2019,Clark County (NV),Two or more races,261
2019,Cleveland,White,254
2019,Cleveland,Black,239
2019,Cleveland,Hispanic,240
2019,Cleveland,Asian/Pacific Islander,‡
2019,Cleveland,American Indian/Alaska Native,‡
2019,Cleveland,Two or more races,‡
2019,Dallas,White,‡
2019,Dallas,Black,234
2019,Dallas,Hispanic,242
2019,Dallas,Asian/Pacific Islander,‡
2019,Dallas,American Indian/Alaska Native,‡
2019,Dallas,Two or more races,‡
2019,Denver,White,286
2019,Denver,Black,243
2019,Denver,Hispanic,246
2019,Denver,Asian/Pacific Islander,‡
2019,Denver,American Indian/Alaska Native,‡
2019,Denver,Two or more races,‡
2019,Detroit,White,‡
2019,Detroit,Black,229
2019,Detroit,Hispanic,245
2019,Detroit,Asian/Pacific Islander,‡
2019,Detroit,American Indian/Alaska Native,‡
2019,Detroit,Two or more races,‡
2019,District of Columbia (DCPS),White,300
2019,District of Columbia (DCPS),Black,239
2019,District of Columbia (DCPS),Hispanic,247
2019,District of Columbia (DCPS),Asian/Pacific Islander,‡
2019,District of Columbia (DCPS),American Indian/Alaska Native,‡
2019,District of Columbia (DCPS),Two or more races,‡
2019,Duval County (FL),White,267
2019,Duval County (FL),Black,248
2019,Duval County (FL),Hispanic,256
2019,Duval County (FL),Asian/Pacific Islander,‡
2019,Duval County (FL),American Indian/Alaska Native,‡
2019,Duval County (FL),Two or more races,‡
2019,Fort Worth (TX),White,262
2019,Fort Worth (TX),Black,232
2019,Fort Worth (TX),Hispanic,243
2019,Fort Worth (TX),Asian/Pacific Islander,‡
2019,Fort Worth (TX),American Indian/Alaska Native,‡
2019,Fort Worth (TX),Two or more races,‡
2019,Fresno,White,253
2019,Fresno,Black,231
2019,Fresno,Hispanic,240
2019,Fresno,Asian/Pacific Islander,255
2019,Fresno,American Indian/Alaska Native,‡
2019,Fresno,Two or more races,‡
2019,Guilford County (NC),White,273
2019,Guilford County (NC),Black,244
2019,Guilford County (NC),Hispanic,256
2019,Guilford County (NC),Asian/Pacific Islander,272
2019,Guilford County (NC),American Indian/Alaska Native,‡
2019,Guilford County (NC),Two or more races,‡
2019,Hillsborough County (FL),White,275
2019,Hillsborough County (FL),Black,247
2019,Hillsborough County (FL),Hispanic,251
2019,Hillsborough County (FL),Asian/Pacific Islander,‡
2019,Hillsborough County (FL),American Indian/Alaska Native,‡
2019,Hillsborough County (FL),Two or more races,‡
2019,Houston,White,276
2019,Houston,Black,239
2019,Houston,Hispanic,247
2019,Houston,Asian/Pacific Islander,‡
2019,Houston,American Indian/Alaska Native,‡
2019,Houston,Two or more races,‡
2019,Jefferson County (KY),White,273
2019,Jefferson County (KY),Black,239
2019,Jefferson County (KY),Hispanic,261
2019,Jefferson County (KY),Asian/Pacific Islander,‡
2019,Jefferson County (KY),American Indian/Alaska Native,‡
2019,Jefferson County (KY),Two or more races,‡
2019,Los Angeles,White,272
2019,Los Angeles,Black,236
2019,Los Angeles,Hispanic,244
2019,Los Angeles,Asian/Pacific Islander,274
2019,Los Angeles,American Indian/Alaska Native,‡
2019,Los Angeles,Two or more races,‡
2019,Miami-Dade,White,276
2019,Miami-Dade,Black,246
2019,Miami-Dade,Hispanic,264
2019,Miami-Dade,Asian/Pacific Islander,‡
2019,Miami-Dade,American Indian/Alaska Native,‡
2019,Miami-Dade,Two or more races,‡
2019,Milwaukee,White,267
2019,Milwaukee,Black,228
2019,Milwaukee,Hispanic,248
2019,Milwaukee,Asian/Pacific Islander,246
2019,Milwaukee,American Indian/Alaska Native,‡
2019,Milwaukee,Two or more races,‡
2019,New York City,White,275
2019,New York City,Black,242
2019,New York City,Hispanic,249
2019,New York City,Asian/Pacific Islander,267
2019,New York City,American Indian/Alaska Native,‡
2019,New York City,Two or more races,‡
2019,Philadelphia,White,260
2019,Philadelphia,Black,238
2019,Philadelphia,Hispanic,233
2019,Philadelphia,Asian/Pacific Islander,266
2019,Philadelphia,American Indian/Alaska Native,‡
2019,Philadelphia,Two or more races,240
2019,San Diego,White,280
2019,San Diego,Black,245
2019,San Diego,Hispanic,254
2019,San Diego,Asian/Pacific Islander,276
2019,San Diego,American Indian/Alaska Native,‡
2019,San Diego,Two or more races,277
2019,Shelby County (TN),White,274
2019,Shelby County (TN),Black,244
2019,Shelby County (TN),Hispanic,254
2019,Shelby County (TN),Asian/Pacific Islander,‡
2019,Shelby County (TN),American Indian/Alaska Native,‡
2019,Shelby County (TN),Two or more races,‡
