year,jurisdiction,average_scale_score,race_ethnicity_used_to_report_trends_school_reported
2024,Nation,257,Hispanic
2024,Nation,251,Black
2022,National,285,White
2022,National,253,Black
2022,National,261,Hispanic
2022,National,304,Asian/Pacific Islander
2022,National,258,American Indian/Alaska Native
2022,National,276,Two or more races
2022,Albuquerque,282,White
2022,Albuquerque,‡,Black
2022,Albuquerque,255,Hispanic
2022,Albuquerque,‡,Asian/Pacific Islander
2022,Albuquerque,‡,American Indian/Alaska Native
2022,Albuquerque,‡,Two or more races
2022,Atlanta,308,White
2022,Atlanta,252,Black
2022,Atlanta,‡,Hispanic
2022,Atlanta,‡,Asian/Pacific Islander
2022,Atlanta,‡,American Indian/Alaska Native
2022,Atlanta,‡,Two or more races
2022,Austin,296,White
2022,Austin,‡,Black
2022,Austin,257,Hispanic
2022,Austin,‡,Asian/Pacific Islander
2022,Austin,‡,American Indian/Alaska Native
2022,Austin,‡,Two or more races
2022,Baltimore City,281,White
2022,Baltimore City,240,Black
2022,Baltimore City,249,Hispanic
2022,Baltimore City,‡,Asian/Pacific Islander
2022,Baltimore City,‡,American Indian/Alaska Native
2022,Baltimore City,‡,Two or more races
2022,Boston,305,White
2022,Boston,253,Black
2022,Boston,255,Hispanic
2022,Boston,314,Asian/Pacific Islander
2022,Boston,‡,American Indian/Alaska Native
2022,Boston,‡,Two or more races
2022,Charlotte,305,White
2022,Charlotte,264,Black
2022,Charlotte,265,Hispanic
2022,Charlotte,‡,Asian/Pacific Islander
2022,Charlotte,‡,American Indian/Alaska Native
2022,Charlotte,‡,Two or more races
2022,Chicago,291,White
2022,Chicago,250,Black
2022,Chicago,263,Hispanic
2022,Chicago,‡,Asian/Pacific Islander
2022,Chicago,‡,American Indian/Alaska Native
2022,Chicago,‡,Two or more races
2022,Clark County (NV),287,White
2022,Clark County (NV),244,Black
2022,Clark County (NV),260,Hispanic
2022,Clark County (NV),285,Asian/Pacific Islander
2022,Clark County (NV),‡,American Indian/Alaska Native
2022,Clark County (NV),270,Two or more races
2022,Cleveland,266,White
2022,Cleveland,238,Black
2022,Cleveland,242,Hispanic
2022,Cleveland,‡,Asian/Pacific Islander
2022,Cleveland,‡,American Indian/Alaska Native
2022,Cleveland,‡,Two or more races
2022,Dallas,‡,White
2022,Dallas,249,Black
2022,Dallas,261,Hispanic
2022,Dallas,‡,Asian/Pacific Islander
2022,Dallas,‡,American Indian/Alaska Native
2022,Dallas,‡,Two or more races
2022,Denver,297,White
2022,Denver,255,Black
2022,Denver,251,Hispanic
2022,Denver,‡,Asian/Pacific Islander
2022,Denver,‡,American Indian/Alaska Native
2022,Denver,‡,Two or more races
2022,Detroit,‡,White
2022,Detroit,234,Black
2022,Detroit,249,Hispanic
2022,Detroit,‡,Asian/Pacific Islander
2022,Detroit,‡,American Indian/Alaska Native
2022,Detroit,‡,Two or more races
2022,District of Columbia (DCPS),316,White
2022,District of Columbia (DCPS),244,Black
2022,District of Columbia (DCPS),253,Hispanic
2022,District of Columbia (DCPS),‡,Asian/Pacific Islander
2022,District of Columbia (DCPS),‡,American Indian/Alaska Native
2022,District of Columbia (DCPS),‡,Two or more races
2022,Duval County (FL),282,White
2022,Duval County (FL),257,Black
2022,Duval County (FL),261,Hispanic
2022,Duval County (FL),‡,Asian/Pacific Islander
2022,Duval County (FL),‡,American Indian/Alaska Native
2022,Duval County (FL),‡,Two or more races
2022,Fort Worth (TX),282,White
2022,Fort Worth (TX),247,Black
2022,Fort Worth (TX),259,Hispanic
2022,Fort Worth (TX),‡,Asian/Pacific Islander
2022,Fort Worth (TX),‡,American Indian/Alaska Native
2022,Fort Worth (TX),‡,Two or more races
2022,Guilford County (NC),290,White
2022,Guilford County (NC),256,Black
2022,Guilford County (NC),263,Hispanic
2022,Guilford County (NC),291,Asian/Pacific Islander
2022,Guilford County (NC),‡,American Indian/Alaska Native
2022,Guilford County (NC),‡,Two or more races
2022,Hillsborough County (FL),283,White
2022,Hillsborough County (FL),249,Black
2022,Hillsborough County (FL),262,Hispanic
2022,Hillsborough County (FL),‡,Asian/Pacific Islander
2022,Hillsborough County (FL),‡,American Indian/Alaska Native
2022,Hillsborough County (FL),‡,Two or more races
2022,Houston,296,White
2022,Houston,253,Black
2022,Houston,261,Hispanic
2022,Houston,‡,Asian/Pacific Islander
2022,Houston,‡,American Indian/Alaska Native
2022,Houston,‡,Two or more races
2022,Jefferson County (KY),278,White
2022,Jefferson County (KY),245,Black
2022,Jefferson County (KY),257,Hispanic
2022,Jefferson County (KY),‡,Asian/Pacific Islander
2022,Jefferson County (KY),‡,American Indian/Alaska Native
2022,Jefferson County (KY),‡,Two or more races
2022,Los Angeles,285,White
2022,Los Angeles,247,Black
2022,Los Angeles,254,Hispanic
2022,Los Angeles,304,Asian/Pacific Islander
2022,Los Angeles,‡,American Indian/Alaska Native
2022,Los Angeles,‡,Two or more races
2022,Miami-Dade,291,White
2022,Miami-Dade,264,Black
2022,Miami-Dade,275,Hispanic
2022,Miami-Dade,‡,Asian/Pacific Islander
2022,Miami-Dade,‡,American Indian/Alaska Native
2022,Miami-Dade,‡,Two or more races
2022,Milwaukee,272,White
2022,Milwaukee,232,Black
2022,Milwaukee,253,Hispanic
2022,Milwaukee,262,Asian/Pacific Islander
2022,Milwaukee,‡,American Indian/Alaska Native
2022,Milwaukee,‡,Two or more races
2022,New York City,296,White
2022,New York City,247,Black
2022,New York City,254,Hispanic
2022,New York City,303,Asian/Pacific Islander
2022,New York City,‡,American Indian/Alaska Native
2022,New York City,‡,Two or more races
2022,Philadelphia,278,White
2022,Philadelphia,241,Black
2022,Philadelphia,245,Hispanic
2022,Philadelphia,292,Asian/Pacific Islander
2022,Philadelphia,‡,American Indian/Alaska Native
2022,Philadelphia,‡,Two or more races
2022,San Diego,294,White
2022,San Diego,252,Black
2022,San Diego,258,Hispanic
2022,San Diego,294,Asian/Pacific Islander
2022,San Diego,‡,American Indian/Alaska Native
2022,San Diego,281,Two or more races
2022,Shelby County (TN),‡,White
2022,Shelby County (TN),247,Black
2022,Shelby County (TN),253,Hispanic
2022,Shelby County (TN),‡,Asian/Pacific Islander
2022,Shelby County (TN),‡,American Indian/Alaska Native
2022,Shelby County (TN),‡,Two or more races
2019,National,292,White
2019,National,260,Black
2019,National,268,Hispanic
2019,National,310,Asian/Pacific Islander
2019,National,262,American Indian/Alaska Native
2019,National,286,Two or more races
2019,Albuquerque,288,White
2019,Albuquerque,‡,Black
2019,Albuquerque,260,Hispanic
2019,Albuquerque,‡,Asian/Pacific Islander
2019,Albuquerque,250,American Indian/Alaska Native
2019,Albuquerque,‡,Two or more races
2019,Atlanta,312,White
2019,Atlanta,257,Black
2019,Atlanta,272,Hispanic
2019,Atlanta,‡,Asian/Pacific Islander
2019,Atlanta,‡,American Indian/Alaska Native
2019,Atlanta,‡,Two or more races
2019,Austin,310,White
2019,Austin,250,Black
2019,Austin,266,Hispanic
2019,Austin,‡,Asian/Pacific Islander
2019,Austin,‡,American Indian/Alaska Native
2019,Austin,‡,Two or more races
2019,Baltimore City,281,White
2019,Baltimore City,250,Black
2019,Baltimore City,254,Hispanic
2019,Baltimore City,‡,Asian/Pacific Islander
2019,Baltimore City,‡,American Indian/Alaska Native
2019,Baltimore City,‡,Two or more races
2019,Boston,315,White
2019,Boston,263,Black
2019,Boston,264,Hispanic
2019,Boston,324,Asian/Pacific Islander
2019,Boston,‡,American Indian/Alaska Native
2019,Boston,‡,Two or more races
2019,Charlotte,314,White
2019,Charlotte,273,Black
2019,Charlotte,274,Hispanic
2019,Charlotte,‡,Asian/Pacific Islander
2019,Charlotte,‡,American Indian/Alaska Native
2019,Charlotte,‡,Two or more races
2019,Chicago,303,White
2019,Chicago,264,Black
2019,Chicago,275,Hispanic
2019,Chicago,318,Asian/Pacific Islander
2019,Chicago,‡,American Indian/Alaska Native
2019,Chicago,‡,Two or more races
2019,Clark County (NV),286,White
2019,Clark County (NV),252,Black
2019,Clark County (NV),266,Hispanic
2019,Clark County (NV),296,Asian/Pacific Islander
2019,Clark County (NV),‡,American Indian/Alaska Native
2019,Clark County (NV),270,Two or more races
2019,Cleveland,272,White
2019,Cleveland,249,Black
2019,Cleveland,248,Hispanic
2019,Cleveland,‡,Asian/Pacific Islander
2019,Cleveland,‡,American Indian/Alaska Native
2019,Cleveland,‡,Two or more races
2019,Dallas,‡,White
2019,Dallas,252,Black
2019,Dallas,265,Hispanic
2019,Dallas,‡,Asian/Pacific Islander
2019,Dallas,‡,American Indian/Alaska Native
2019,Dallas,‡,Two or more races
2019,Denver,308,White
2019,Denver,254,Black
2019,Denver,263,Hispanic
2019,Denver,‡,Asian/Pacific Islander
2019,Denver,‡,American Indian/Alaska Native
2019,Denver,‡,Two or more races
2019,Detroit,‡,White
2019,Detroit,241,Black
2019,Detroit,256,Hispanic
2019,Detroit,‡,Asian/Pacific Islander
2019,Detroit,‡,American Indian/Alaska Native
2019,Detroit,‡,Two or more races
2019,District of Columbia (DCPS),322,White
2019,District of Columbia (DCPS),254,Black
2019,District of Columbia (DCPS),268,Hispanic
2019,District of Columbia (DCPS),‡,Asian/Pacific Islander
2019,District of Columbia (DCPS),‡,American Indian/Alaska Native
2019,District of Columbia (DCPS),‡,Two or more races
2019,Duval County (FL),287,White
2019,Duval County (FL),263,Black
2019,Duval County (FL),271,Hispanic
2019,Duval County (FL),298,Asian/Pacific Islander
2019,Duval County (FL),‡,American Indian/Alaska Native
2019,Duval County (FL),‡,Two or more races
2019,Fort Worth (TX),296,White
2019,Fort Worth (TX),247,Black
2019,Fort Worth (TX),266,Hispanic
2019,Fort Worth (TX),‡,Asian/Pacific Islander
2019,Fort Worth (TX),‡,American Indian/Alaska Native
2019,Fort Worth (TX),‡,Two or more races
2019,Guilford County (NC),301,White
2019,Guilford County (NC),262,Black
2019,Guilford County (NC),276,Hispanic
2019,Guilford County (NC),305,Asian/Pacific Islander
2019,Guilford County (NC),‡,American Indian/Alaska Native
2019,Guilford County (NC),‡,Two or more races
2019,Hillsborough County (FL),292,White
2019,Hillsborough County (FL),257,Black
2019,Hillsborough County (FL),268,Hispanic
2019,Hillsborough County (FL),‡,Asian/Pacific Islander
2019,Hillsborough County (FL),‡,American Indian/Alaska Native
2019,Hillsborough County (FL),‡,Two or more races
2019,Houston,315,White
2019,Houston,261,Black
2019,Houston,271,Hispanic
2019,Houston,‡,Asian/Pacific Islander
2019,Houston,‡,American Indian/Alaska Native
2019,Houston,‡,Two or more races
2019,Jefferson County (KY),286,White
2019,Jefferson County (KY),257,Black
2019,Jefferson County (KY),268,Hispanic
2019,Jefferson County (KY),‡,Asian/Pacific Islander
2019,Jefferson County (KY),‡,American Indian/Alaska Native
2019,Jefferson County (KY),‡,Two or more races
2019,Los Angeles,287,White
2019,Los Angeles,248,Black
2019,Los Angeles,255,Hispanic
2019,Los Angeles,295,Asian/Pacific Islander
2019,Los Angeles,‡,American Indian/Alaska Native
2019,Los Angeles,‡,Two or more races
2019,Miami-Dade,295,White
2019,Miami-Dade,261,Black
2019,Miami-Dade,277,Hispanic
2019,Miami-Dade,‡,Asian/Pacific Islander
2019,Miami-Dade,‡,American Indian/Alaska Native
2019,Miami-Dade,‡,Two or more races
2019,Milwaukee,280,White
2019,Milwaukee,242,Black
2019,Milwaukee,259,Hispanic
2019,Milwaukee,261,Asian/Pacific Islander
2019,Milwaukee,‡,American Indian/Alaska Native
2019,Milwaukee,‡,Two or more races
2019,New York City,295,White
2019,New York City,255,Black
2019,New York City,260,Hispanic
2019,New York City,308,Asian/Pacific Islander
2019,New York City,‡,American Indian/Alaska Native
2019,New York City,‡,Two or more races
2019,Philadelphia,282,White
2019,Philadelphia,247,Black
2019,Philadelphia,243,Hispanic
2019,Philadelphia,292,Asian/Pacific Islander
2019,Philadelphia,‡,American Indian/Alaska Native
2019,Philadelphia,‡,Two or more races
2019,San Diego,305,White
2019,San Diego,267,Black
2019,San Diego,262,Hispanic
2019,San Diego,302,Asian/Pacific Islander
2019,San Diego,‡,American Indian/Alaska Native
2019,San Diego,301,Two or more races
2019,Shelby County (TN),‡,White
2019,Shelby County (TN),261,Black
2019,Shelby County (TN),270,Hispanic
2019,Shelby County (TN),‡,Asian/Pacific Islander
2019,Shelby County (TN),‡,American Indian/Alaska Native
2019,Shelby County (TN),‡,Two or more races
